LOAN_ID,CUSTOMER_ID,ACCOUNT_ID,LOAN_TYPE,PRINCIPAL,INTEREST_RATE,CREDIT_GRADE,COLLATERAL_VALUE,LOAN_MEMO,STATUS,ORIGINATION_DATE
LOAN_000001,CUST_001176,ACCT_00003216,AUTO,233517.86,3.84,C,23555.42,Rather government four end well make discussion.,ACTIVE,2023-10-03T14:26:28.610449
LOAN_000002,CUST_001664,ACCT_00002812,PERSONAL,479675.58,4.06,D,188444.59,Company material sit require place.,DEFAULTED,2022-04-17T14:26:28.610680
LOAN_000003,CUST_000911,ACCT_00000525,PERSONAL,277344.56,3.66,B,169490.29,Cold second hour media.,ACTIVE,2025-11-23T14:26:28.610888
LOAN_000004,CUST_000302,ACCT_00002414,AUTO,311298.83,8.6,B,712920.86,Recognize get real thank society than.,PAID_OFF,2023-11-28T14:26:28.611092
LOAN_000005,CUST_003095,ACCT_00000384,AUTO,320661.64,6.36,A,125614.9,Only cover leg seek exist beat activity.,PAID_OFF,2025-03-08T14:26:28.611335
LOAN_000006,CUST_003016,ACCT_00005324,HOME,138664.07,4.4,B,137249.85,Cost natural form research effect knowledge.,DEFAULTED,2024-12-05T14:26:28.611559
LOAN_000007,CUST_000803,ACCT_00003287,PERSONAL,211183.01,4.02,A,29205.29,Lose recent section.,ACTIVE,2025-05-14T14:26:28.611765
LOAN_000008,CUST_002678,ACCT_00005122,PERSONAL,411675.38,4.15,A,249876.56,Per third staff according increase.,ACTIVE,2025-05-08T14:26:28.611970
LOAN_000009,CUST_002837,ACCT_00002797,PERSONAL,90624.69,8.91,C,503572.95,In type role perhaps unit.,PAID_OFF,2026-02-06T14:26:28.612191
LOAN_000010,CUST_000141,ACCT_00005011,HOME,353123.68,5.44,A,405741.87,Environmental spring news themselves similar law.,DEFAULTED,2023-01-11T14:26:28.612435
LOAN_000011,CUST_000548,ACCT_00000128,BUSINESS,493562.94,9.04,C,435585.89,Small operation entire kitchen represent kind picture.,PAID_OFF,2023-12-06T14:26:28.612639
LOAN_000012,CUST_001778,ACCT_00004023,AUTO,418525.78,8.47,A,191177.38,Yeah rock spring me history indicate issue.,DEFAULTED,2023-01-31T14:26:28.612841
LOAN_000013,CUST_002207,ACCT_00004408,AUTO,250253.65,4.3,D,175503.94,North remember join practice.,ACTIVE,2026-04-15T14:26:28.613044
LOAN_000014,CUST_002901,ACCT_00006646,AUTO,162494.77,4.12,B,114379.84,President prevent experience night him couple face environmental.,DEFAULTED,2023-04-12T14:26:28.613247
LOAN_000015,CUST_000361,ACCT_00001550,PERSONAL,454038.41,6.75,D,404964.57,Dream organization fact matter military rule.,DEFAULTED,2021-11-22T14:26:28.613455
LOAN_000016,CUST_001721,ACCT_00005330,AUTO,360971.25,7.44,D,20644.45,Table above present hour.,PAID_OFF,2024-02-24T14:26:28.613672
LOAN_000017,CUST_003102,ACCT_00004820,AUTO,352919.87,4.75,C,721675.42,Alone break sea reflect economic seven cover hospital.,ACTIVE,2022-02-03T14:26:28.613889
LOAN_000018,CUST_003412,ACCT_00001629,HOME,316364.26,7.93,B,623238.9,Part early eye action.,ACTIVE,2025-04-26T14:26:28.614106
LOAN_000019,CUST_003253,ACCT_00000939,HOME,484545.43,3.78,C,302647.02,Rise process agent mouth operation.,DEFAULTED,2023-06-04T14:26:28.614323
LOAN_000020,CUST_001177,ACCT_00001450,PERSONAL,271074.13,7.64,D,451816.06,We husband most field hotel.,PAID_OFF,2025-12-04T14:26:28.614547
LOAN_000021,CUST_001006,ACCT_00003746,AUTO,92551.21,6.59,D,351637.08,Sing report prevent record here civil.,PAID_OFF,2026-05-27T14:26:28.614761
LOAN_000022,CUST_000470,ACCT_00003579,PERSONAL,311882.8,6.91,C,461319.61,Seven million fire hotel apply money I.,ACTIVE,2022-08-23T14:26:28.614980
LOAN_000023,CUST_003212,ACCT_00000540,BUSINESS,67579.25,4.18,C,53743.5,Prepare simply low.,PAID_OFF,2026-05-03T14:26:28.615203
LOAN_000024,CUST_002038,ACCT_00004482,PERSONAL,156172.88,9.3,C,717990.28,Article third myself.,DEFAULTED,2025-06-05T14:26:28.615419
LOAN_000025,CUST_001060,ACCT_00004660,PERSONAL,256504.52,6.36,B,112073.04,Federal wait summer.,ACTIVE,2022-04-14T14:26:28.615633
LOAN_000026,CUST_002952,ACCT_00004920,AUTO,65792.35,7.81,D,712112.18,Remain interview cultural bad environment.,DEFAULTED,2024-11-30T14:26:28.615847
LOAN_000027,CUST_000432,ACCT_00005045,HOME,106424.54,6.82,A,585055.78,Real notice many deep similar.,ACTIVE,2023-12-21T14:26:28.616062
LOAN_000028,CUST_003062,ACCT_00000967,HOME,203219.09,9.23,A,366875.78,Organization thank sure section walk consider.,PAID_OFF,2023-05-29T14:26:28.616276
LOAN_000029,CUST_001584,ACCT_00003588,AUTO,172767.59,8.23,B,421437.7,Give financial defense there action lot.,PAID_OFF,2022-09-08T14:26:28.616490
LOAN_000030,CUST_001951,ACCT_00003259,BUSINESS,194783.28,6.35,A,495788.96,Join southern discuss more treat compare.,DEFAULTED,2025-08-18T14:26:28.616706
LOAN_000031,CUST_000892,ACCT_00000604,BUSINESS,230045.61,4.53,B,433880.74,Hard business bad compare.,ACTIVE,2026-06-17T14:26:28.616921
LOAN_000032,CUST_003337,ACCT_00000300,BUSINESS,170997.3,4.82,D,519272.61,Leader green where base.,DEFAULTED,2025-04-13T14:26:28.617135
LOAN_000033,CUST_002160,ACCT_00002517,HOME,153653.98,7.28,B,52105.18,Fine box exactly air thus last.,DEFAULTED,2025-03-26T14:26:28.617349
LOAN_000034,CUST_003204,ACCT_00002965,HOME,242749.9,3.77,D,574486.89,Left term become eat film some side.,ACTIVE,2023-05-15T14:26:28.617563
LOAN_000035,CUST_001990,ACCT_00002770,BUSINESS,322603.24,3.6,D,581957.36,Loss shoulder car we west main.,ACTIVE,2025-12-11T14:26:28.617777
LOAN_000036,CUST_001467,ACCT_00000498,PERSONAL,349472.71,6.76,C,517519.24,Book network safe full.,ACTIVE,2023-03-14T14:26:28.617999
LOAN_000037,CUST_002743,ACCT_00004801,PERSONAL,449046.38,8.17,B,434061.21,Middle religious out consumer make anyone.,PAID_OFF,2022-11-24T14:26:28.618213
LOAN_000038,CUST_001074,ACCT_00003101,PERSONAL,63984.52,5.9,C,675143.12,Certain fish source leader near.,ACTIVE,2024-04-30T14:26:28.618427
LOAN_000039,CUST_001126,ACCT_00002716,AUTO,222860.36,9.12,C,424916.37,Drug about several man form reason.,DEFAULTED,2023-12-19T14:26:28.618652
LOAN_000040,CUST_002315,ACCT_00006397,BUSINESS,217976.13,3.75,B,728170.76,Thing item threat according.,ACTIVE,2022-10-26T14:26:28.618865
LOAN_000041,CUST_002410,ACCT_00000350,BUSINESS,330338.53,7.15,B,645081.17,Will practice political increase.,PAID_OFF,2022-10-24T14:26:28.619080
LOAN_000042,CUST_001228,ACCT_00006415,HOME,264432.5,3.64,B,428340.99,One certain on president from arm system.,ACTIVE,2024-07-17T14:26:28.619294
LOAN_000043,CUST_000444,ACCT_00005491,PERSONAL,39998.01,5.31,D,313018.03,Happen lay outside start court though.,ACTIVE,2024-12-01T14:26:28.619525
LOAN_000044,CUST_001541,ACCT_00003006,BUSINESS,81009.25,6.67,C,655888.96,Cut girl which represent tell pick current.,PAID_OFF,2026-07-18T14:26:28.619749
LOAN_000045,CUST_002772,ACCT_00003500,BUSINESS,452254.29,5.24,C,201410.78,My give impact practice position exist.,DEFAULTED,2026-04-26T14:26:28.619967
LOAN_000046,CUST_000397,ACCT_00003038,AUTO,70186.66,8.07,A,425157.46,Place call traditional despite create.,DEFAULTED,2025-05-25T14:26:28.620207
LOAN_000047,CUST_000229,ACCT_00006071,HOME,301771.42,6.76,C,577695.36,Authority trade executive management.,PAID_OFF,2022-07-20T14:26:28.620424
LOAN_000048,CUST_000099,ACCT_00006758,AUTO,105899.72,5.02,C,254740.01,Street young language economic.,ACTIVE,2021-12-28T14:26:28.620629
LOAN_000049,CUST_003231,ACCT_00004682,HOME,218390.44,7.26,B,399770.65,Open actually PM itself news no statement likely.,ACTIVE,2025-03-18T14:26:28.620831
LOAN_000050,CUST_000496,ACCT_00004388,AUTO,362983.29,4.82,C,218661.35,Week call in exist site read.,DEFAULTED,2023-12-05T14:26:28.621033
LOAN_000051,CUST_001291,ACCT_00003649,HOME,167451.34,4.18,D,437228.91,Its general safe officer evidence item.,PAID_OFF,2023-12-11T14:26:28.621238
LOAN_000052,CUST_003113,ACCT_00003441,AUTO,79837.5,4.36,C,599774.77,Pick fear daughter address it.,ACTIVE,2022-06-17T14:26:28.621440
LOAN_000053,CUST_001609,ACCT_00006217,HOME,127650.26,8.39,A,96531.4,Property common different relationship.,DEFAULTED,2021-12-08T14:26:28.621643
