TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_TYPE,AMOUNT,BUSINESS_DATE,MEMO,CREATED_AT
TXN_00000001,ACCT_00005362,CREDIT,7274.52,2026-06-29,One until nature none some.,2026-09-20T15:49:40.277608
TXN_00000002,ACCT_00005660,DEBIT,8045.9,2026-09-20,Case old it.,2026-09-20T15:49:40.277654
TXN_00000003,ACCT_00005298,CREDIT,1817.17,2026-09-04,Remain door crime discover family perhaps.,2026-09-20T15:49:40.277692
TXN_00000004,ACCT_00002785,CREDIT,6868.32,2026-08-26,Until two style candidate.,2026-09-20T15:49:40.277727
TXN_00000005,ACCT_00000463,CREDIT,7739.56,2026-08-26,Instead bill degree myself writer.,2026-09-20T15:49:40.277762
TXN_00000006,ACCT_00001294,DEBIT,4122.55,2026-08-01,Single staff political theory office.,2026-09-20T15:49:40.277795
TXN_00000007,ACCT_00003060,CREDIT,5699.81,2026-09-07,Cover drug give late.,2026-09-20T15:49:40.277829
TXN_00000008,ACCT_00000376,CREDIT,600.59,2026-07-14,Human picture compare line you attention since.,2026-09-20T15:49:40.277862
TXN_00000009,ACCT_00005561,CREDIT,7512.56,2026-09-12,Fish represent fast pressure father.,2026-09-20T15:49:40.277895
TXN_00000010,ACCT_00000967,CREDIT,941.13,2026-06-27,Character sit baby head your now remember.,2026-09-20T15:49:40.277928
TXN_00000011,ACCT_00002072,DEBIT,6396.91,2026-08-06,Population blue community relate my soldier.,2026-09-20T15:49:40.277962
TXN_00000012,ACCT_00000275,DEBIT,4077.39,2026-08-29,Thank despite body firm unit.,2026-09-20T15:49:40.277995
TXN_00000013,ACCT_00001210,CREDIT,9939.54,2026-08-19,Candidate into pass moment door TV.,2026-09-20T15:49:40.278028
TXN_00000014,ACCT_00002009,CREDIT,8322.17,2026-06-30,Soldier another usually though realize sometimes.,2026-09-20T15:49:40.278061
TXN_00000015,ACCT_00002512,CREDIT,3390.93,2026-07-27,Black remember discussion himself floor.,2026-09-20T15:49:40.278094
TXN_00000016,ACCT_00005519,CREDIT,618.11,2026-08-11,Usually ability old save.,2026-09-20T15:49:40.278127
TXN_00000017,ACCT_00001577,CREDIT,4995.88,2026-07-20,Operation ready culture level represent child skin.,2026-09-20T15:49:40.278159
TXN_00000018,ACCT_00005505,CREDIT,804.52,2026-07-30,Time then reason allow during.,2026-09-20T15:49:40.278192
TXN_00000019,ACCT_00000122,DEBIT,5088.37,2026-06-23,Wide camera PM once.,2026-09-20T15:49:40.278226
TXN_00000020,ACCT_00004695,CREDIT,1930.54,2026-07-12,Fine interview much eat style group building.,2026-09-20T15:49:40.278259
TXN_00000021,ACCT_00004404,CREDIT,3440.18,2026-07-06,Likely leave today culture resource.,2026-09-20T15:49:40.278292
TXN_00000022,ACCT_00005238,CREDIT,9231.15,2026-07-10,Science already maintain stage feel movie.,2026-09-20T15:49:40.278325
TXN_00000023,ACCT_00006053,DEBIT,602.75,2026-09-12,Science represent which accept short TV.,2026-09-20T15:49:40.278357
TXN_00000024,ACCT_00005515,CREDIT,8817.22,2026-08-31,Plan investment thought research.,2026-09-20T15:49:40.278390
TXN_00000025,ACCT_00006467,DEBIT,7629.38,2026-09-14,Although black difficult system physical hand green lot.,2026-09-20T15:49:40.278423
TXN_00000026,ACCT_00006602,DEBIT,3999.67,2026-08-16,Process security tree subject.,2026-09-20T15:49:40.278456
TXN_00000027,ACCT_00005969,DEBIT,214.5,2026-06-28,History firm somebody condition deal.,2026-09-20T15:49:40.278490
TXN_00000028,ACCT_00002017,DEBIT,6034.92,2026-07-19,Lay table century staff within operation.,2026-09-20T15:49:40.278522
TXN_00000029,ACCT_00003752,CREDIT,2956.17,2026-08-15,Cover natural open bad.,2026-09-20T15:49:40.278555
TXN_00000030,ACCT_00001862,DEBIT,7759.3,2026-09-02,Character speech us once front truth school.,2026-09-20T15:49:40.278589
TXN_00000031,ACCT_00004860,CREDIT,3457.06,2026-07-24,By chair cell audience discuss employee.,2026-09-20T15:49:40.278622
TXN_00000032,ACCT_00004304,CREDIT,9487.51,2026-07-19,Region especially cold discuss southern to few.,2026-09-20T15:49:40.278655
TXN_00000033,ACCT_00005679,CREDIT,8782.77,2026-09-14,Between blood economic maybe.,2026-09-20T15:49:40.278687
TXN_00000034,ACCT_00002417,CREDIT,9431.49,2026-09-04,Over significant type possible which.,2026-09-20T15:49:40.278720
TXN_00000035,ACCT_00002145,CREDIT,7196.52,2026-07-03,Mouth word wait past.,2026-09-20T15:49:40.278753
TXN_00000036,ACCT_00003939,DEBIT,7873.1,2026-07-17,Sign available professor note start find project.,2026-09-20T15:49:40.278786
TXN_00000037,ACCT_00001730,CREDIT,1036.72,2026-09-19,Away able a cover nation difficult certain.,2026-09-20T15:49:40.278819
TXN_00000038,ACCT_00003360,CREDIT,6281.91,2026-06-28,Animal morning little four company dinner.,2026-09-20T15:49:40.278852
TXN_00000039,ACCT_00000611,DEBIT,331.59,2026-07-09,Analysis card strong baby usually.,2026-09-20T15:49:40.278885
TXN_00000040,ACCT_00003624,CREDIT,2922.76,2026-08-29,Property both example identify successful read fall.,2026-09-20T15:49:40.278918
TXN_00000041,ACCT_00005027,DEBIT,5793.61,2026-08-20,Safe main have value.,2026-09-20T15:49:40.278951
TXN_00000042,ACCT_00000541,CREDIT,6364.19,2026-09-04,Minute security whether type beyond.,2026-09-20T15:49:40.278984
TXN_00000043,ACCT_00000993,DEBIT,5032.6,2026-07-28,Middle truth box form.,2026-09-20T15:49:40.279021
TXN_00000044,ACCT_00002913,CREDIT,9604.46,2026-07-22,Become center right glass.,2026-09-20T15:49:40.279054
TXN_00000045,ACCT_00006348,DEBIT,9675.44,2026-08-28,Send hear treat.,2026-09-20T15:49:40.279087
TXN_00000046,ACCT_00002329,DEBIT,27.63,2026-06-30,Member national difference statement civil space.,2026-09-20T15:49:40.279120
TXN_00000047,ACCT_00002980,CREDIT,5641.9,2026-07-10,Training happen project group boy.,2026-09-20T15:49:40.279153
TXN_00000048,ACCT_00000726,CREDIT,7672.52,2026-07-15,Range stay perform decision movement business building keep.,2026-09-20T15:49:40.279186
TXN_00000049,ACCT_00006090,CREDIT,2293.66,2026-06-26,Pay area like market.,2026-09-20T15:49:40.279219
TXN_00000050,ACCT_00002874,CREDIT,3509.28,2026-09-06,Born mission tree.,2026-09-20T15:49:40.279252
TXN_00000051,ACCT_00005331,DEBIT,9939.06,2026-08-23,Series Mr only such always when sense.,2026-09-20T15:49:40.279285
TXN_00000052,ACCT_00002350,DEBIT,9192.06,2026-08-16,Total race wear identify.,2026-09-20T15:49:40.279317
TXN_00000053,ACCT_00000458,CREDIT,6920.85,2026-07-17,Human from page almost let.,2026-09-20T15:49:40.279350
TXN_00000054,ACCT_00006326,DEBIT,4149.9,2026-06-29,Home Democrat mission often data.,2026-09-20T15:49:40.279383
TXN_00000055,ACCT_00001774,DEBIT,9400.5,2026-08-21,Discussion doctor with wish us.,2026-09-20T15:49:40.279416
TXN_00000056,ACCT_00004841,CREDIT,6107.41,2026-08-14,Themselves pull recently no easy network.,2026-09-20T15:49:40.279449
TXN_00000057,ACCT_00001956,CREDIT,9330.24,2026-07-13,Suddenly stop character decision itself.,2026-09-20T15:49:40.279482
TXN_00000058,ACCT_00006141,CREDIT,8570.26,2026-07-03,Individual fund staff deep set animal.,2026-09-20T15:49:40.279516
